"beta_hat","beta","gamma","sigma","distribution","g","r"
0.177813832851655,0.05,0.5,0.5,"normal",26,70
-0.0117160826707704,0.05,0.5,0.5,"normal",26,70
-0.0123964722916435,0.05,0.5,0.5,"normal",26,70
0.154249667369732,0.05,0.5,0.5,"normal",26,70
0.183853853737386,0.05,0.5,0.5,"normal",26,70
-0.300699823043622,0.05,0.5,0.5,"normal",26,70
0.232116857918488,0.05,0.5,0.5,"normal",26,70
-0.228361013235059,0.05,0.5,0.5,"normal",26,70
-0.0306566342771187,0.05,0.5,0.5,"normal",26,70
0.0970705731702044,0.05,0.5,0.5,"normal",26,70
0.356500282589692,0.05,0.5,0.5,"normal",26,70
-0.185546501954117,0.05,0.5,0.5,"normal",26,70
-0.0185200492291628,0.05,0.5,0.5,"normal",26,70
0.165913241946284,0.05,0.5,0.5,"normal",28,64
0.111042522898161,0.05,0.5,0.5,"normal",28,64
0.124509068638268,0.05,0.5,0.5,"normal",28,64
0.366795288962517,0.05,0.5,0.5,"normal",28,64
0.249289269452841,0.05,0.5,0.5,"normal",28,64
-0.106695364553042,0.05,0.5,0.5,"normal",28,64
-0.142074982500852,0.05,0.5,0.5,"normal",28,64
-0.175813627461836,0.05,0.5,0.5,"normal",28,64
-0.379071714949071,0.05,0.5,0.5,"normal",28,64
0.174503560060993,0.05,0.5,0.5,"normal",28,64
0.101695113381716,0.05,0.5,0.5,"normal",28,64
-0.100657434398692,0.05,0.5,0.5,"normal",28,64
-0.00113186777770312,0.05,0.5,0.5,"normal",28,64
0.163160921388636,0.05,0.5,0.5,"normal",28,64
0.229160078162346,0.05,0.5,0.5,"normal",28,64
-0.171491939895039,0.05,0.5,0.5,"normal",28,64
0.077785666147692,0.05,0.5,0.5,"normal",28,64
0.170329595779483,0.05,0.5,0.5,"normal",28,64
0.162382181964148,0.05,0.5,0.5,"normal",28,64
0.190420684655786,0.05,0.5,0.5,"normal",28,64
-0.252908566998258,0.05,0.5,0.5,"normal",28,64
0.0581329977247967,0.05,0.5,0.5,"normal",28,64
-0.210855400647832,0.05,0.5,0.5,"normal",28,64
0.224482609098753,0.05,0.5,0.5,"normal",28,64
0.048685660734569,0.05,0.5,0.5,"normal",28,64
0.00500608743735324,0.05,0.5,0.5,"normal",28,64
0.249833903130426,0.05,0.5,0.5,"normal",28,64
0.290813462016699,0.05,0.5,0.5,"normal",28,64
0.461244372390129,0.05,0.5,0.5,"normal",28,64
-0.057171148936294,0.05,0.5,0.5,"normal",28,64
0.203409493492469,0.05,0.5,0.5,"normal",30,60
0.0745095415678846,0.05,0.5,0.5,"normal",30,60
0.130001727404426,0.05,0.5,0.5,"normal",30,60
-0.315782129284308,0.05,0.5,0.5,"normal",30,60
0.0993053261996139,0.05,0.5,0.5,"normal",30,60
-0.0588411665867892,0.05,0.5,0.5,"normal",30,60
-0.0567335593013622,0.05,0.5,0.5,"normal",30,60
-0.146702712989947,0.05,0.5,0.5,"normal",30,60
0.478244943722261,0.05,0.5,0.5,"normal",30,60
-0.0628823347476256,0.05,0.5,0.5,"normal",30,60
-0.325610971309667,0.05,0.5,0.5,"normal",30,60
0.0390015358856378,0.05,0.5,0.5,"normal",30,60
-0.258688106719679,0.05,0.5,0.5,"normal",30,60
-0.35411790742483,0.05,0.5,0.5,"normal",30,60
-0.0268248097616464,0.05,0.5,0.5,"normal",30,60
0.185279065940475,0.05,0.5,0.5,"normal",30,60
-0.0814105536035627,0.05,0.5,0.5,"normal",30,60
0.390209352063817,0.05,0.5,0.5,"normal",30,60
